Source,Target,Type,Weight
1,a,Undirected,13131
2,a,Undirected,10938
3,a,Undirected,11908
4,a,Undirected,14290
5,a,Undirected,17970
6,a,Undirected,13750
7,a,Undirected,15487
8,a,Undirected,8194
9,a,Undirected,13522
10,a,Undirected,17198
11,a,Undirected,10874
12,a,Undirected,18102
13,a,Undirected,12946
14,a,Undirected,15182
15,a,Undirected,17297
16,a,Undirected,20809
17,a,Undirected,22068
18,a,Undirected,32232
19,a,Undirected,11120
20,a,Undirected,16431
21,a,Undirected,52969
22,a,Undirected,12917
23,a,Undirected,9531
24,a,Undirected,9021
25,a,Undirected,15057
26,a,Undirected,16270
27,a,Undirected,54010
28,a,Undirected,9500
29,a,Undirected,13065
30,a,Undirected,11560
31,a,Undirected,13447
32,a,Undirected,20859
33,a,Undirected,33259
34,a,Undirected,17287
35,a,Undirected,15957
36,a,Undirected,9120
37,a,Undirected,7382
38,a,Undirected,8710
39,a,Undirected,29312
40,a,Undirected,38032
41,a,Undirected,24481
42,a,Undirected,13712
43,a,Undirected,17501
44,a,Undirected,33255
45,a,Undirected,26136
46,a,Undirected,17236
47,a,Undirected,32362
48,a,Undirected,17267
49,a,Undirected,28612
50,a,Undirected,34270
51,a,Undirected,18992
52,a,Undirected,28460
53,a,Undirected,18373
54,a,Undirected,16800
55,a,Undirected,26843
56,a,Undirected,40081
57,a,Undirected,11091
58,a,Undirected,19216
59,a,Undirected,11448
60,a,Undirected,10026
61,a,Undirected,12336
62,a,Undirected,16297
63,a,Undirected,49721
64,a,Undirected,17667
65,a,Undirected,18095
66,a,Undirected,13218
67,a,Undirected,24951
68,a,Undirected,11683
69,a,Undirected,21828
70,a,Undirected,59120
71,a,Undirected,15513
72,a,Undirected,13434
73,a,Undirected,17508
74,a,Undirected,15111
75,a,Undirected,18369
76,a,Undirected,13673
77,a,Undirected,20349
78,a,Undirected,15854
79,a,Undirected,13106
80,a,Undirected,14198
81,a,Undirected,30453
82,a,Undirected,19251
83,a,Undirected,18538
84,a,Undirected,15914
85,a,Undirected,17527
86,a,Undirected,9569
87,a,Undirected,16865
88,a,Undirected,19865
89,a,Undirected,29230
