Source,Target,Type,Weight
1,a,Undirected,947
2,a,Undirected,900
3,a,Undirected,903
4,a,Undirected,776
5,a,Undirected,1003
6,a,Undirected,539
7,a,Undirected,865
8,a,Undirected,409
9,a,Undirected,1069
10,a,Undirected,858
11,a,Undirected,529
12,a,Undirected,921
13,a,Undirected,649
14,a,Undirected,701
15,a,Undirected,1154
16,a,Undirected,1297
17,a,Undirected,1124
18,a,Undirected,1815
19,a,Undirected,488
20,a,Undirected,837
21,a,Undirected,4686
22,a,Undirected,533
23,a,Undirected,391
24,a,Undirected,339
25,a,Undirected,423
26,a,Undirected,805
27,a,Undirected,5914
28,a,Undirected,398
29,a,Undirected,414
30,a,Undirected,469
31,a,Undirected,800
32,a,Undirected,713
33,a,Undirected,830
34,a,Undirected,1076
35,a,Undirected,578
36,a,Undirected,450
37,a,Undirected,260
38,a,Undirected,943
39,a,Undirected,603
40,a,Undirected,1314
41,a,Undirected,1426
42,a,Undirected,565
43,a,Undirected,925
44,a,Undirected,1605
45,a,Undirected,1451
46,a,Undirected,865
47,a,Undirected,3235
48,a,Undirected,1266
49,a,Undirected,2082
50,a,Undirected,1636
51,a,Undirected,1172
52,a,Undirected,1508
53,a,Undirected,669
54,a,Undirected,528
55,a,Undirected,1508
56,a,Undirected,3313
57,a,Undirected,563
58,a,Undirected,1162
59,a,Undirected,347
60,a,Undirected,373
61,a,Undirected,474
62,a,Undirected,991
63,a,Undirected,1864
64,a,Undirected,1097
65,a,Undirected,981
66,a,Undirected,715
67,a,Undirected,1292
68,a,Undirected,343
69,a,Undirected,497
70,a,Undirected,2609
71,a,Undirected,1039
72,a,Undirected,508
73,a,Undirected,696
74,a,Undirected,549
75,a,Undirected,596
76,a,Undirected,646
77,a,Undirected,1082
78,a,Undirected,917
79,a,Undirected,409
80,a,Undirected,784
81,a,Undirected,2347
82,a,Undirected,1076
83,a,Undirected,1763
84,a,Undirected,411
85,a,Undirected,498
86,a,Undirected,540
87,a,Undirected,941
88,a,Undirected,848
89,a,Undirected,1885
90,a,Undirected,4604
91,a,Undirected,948
92,a,Undirected,697
93,a,Undirected,1059
94,a,Undirected,1903
95,a,Undirected,1994
96,a,Undirected,9361
97,a,Undirected,2413
98,a,Undirected,1012
99,a,Undirected,763
100,a,Undirected,758
101,a,Undirected,405
102,a,Undirected,2196
103,a,Undirected,10910
104,a,Undirected,2064
105,a,Undirected,4546
106,a,Undirected,4704
107,a,Undirected,20816
108,a,Undirected,1855
109,a,Undirected,977
110,a,Undirected,406
111,a,Undirected,598
112,a,Undirected,461
113,a,Undirected,1012
114,a,Undirected,2039
115,a,Undirected,615
116,a,Undirected,575
117,a,Undirected,508
118,a,Undirected,385
119,a,Undirected,493
120,a,Undirected,414
121,a,Undirected,582
122,a,Undirected,411
123,a,Undirected,666
124,a,Undirected,804
125,a,Undirected,430
126,a,Undirected,515
