Source,Target,Type ,Weight
1,a,Undirected,3907
2,a,Undirected,3244
3,a,Undirected,3559
4,a,Undirected,4278
5,a,Undirected,4117
6,a,Undirected,2748
7,a,Undirected,3222
8,a,Undirected,2302
9,a,Undirected,3576
10,a,Undirected,4638
11,a,Undirected,3003
12,a,Undirected,5094
13,a,Undirected,3624
14,a,Undirected,4214
15,a,Undirected,4450
16,a,Undirected,5324
17,a,Undirected,5874
18,a,Undirected,6630
19,a,Undirected,2446
20,a,Undirected,4096
21,a,Undirected,18412
22,a,Undirected,4015
23,a,Undirected,3198
24,a,Undirected,2947
25,a,Undirected,4409
26,a,Undirected,4565
27,a,Undirected,17464
28,a,Undirected,3000
29,a,Undirected,4099
30,a,Undirected,3370
31,a,Undirected,4029
32,a,Undirected,5070
33,a,Undirected,7523
34,a,Undirected,4704
35,a,Undirected,4204
36,a,Undirected,2664
37,a,Undirected,1932
38,a,Undirected,2234
39,a,Undirected,5059
40,a,Undirected,6646
41,a,Undirected,7126
42,a,Undirected,4516
43,a,Undirected,4714
44,a,Undirected,9308
45,a,Undirected,7458
46,a,Undirected,4857
47,a,Undirected,10992
48,a,Undirected,5481
49,a,Undirected,7784
50,a,Undirected,7613
51,a,Undirected,5772
52,a,Undirected,7338
53,a,Undirected,4793
54,a,Undirected,4285
55,a,Undirected,6482
56,a,Undirected,9638
57,a,Undirected,3091
58,a,Undirected,5708
59,a,Undirected,3387
60,a,Undirected,3133
61,a,Undirected,3495
62,a,Undirected,4651
63,a,Undirected,13468
64,a,Undirected,4803
65,a,Undirected,5017
66,a,Undirected,2990
67,a,Undirected,7197
68,a,Undirected,2971
69,a,Undirected,4171
70,a,Undirected,9113
71,a,Undirected,4036
72,a,Undirected,3894
73,a,Undirected,4498
74,a,Undirected,4002
75,a,Undirected,4952
76,a,Undirected,4095
77,a,Undirected,5325
78,a,Undirected,4457
79,a,Undirected,3254
80,a,Undirected,3920
81,a,Undirected,10240
82,a,Undirected,5445
83,a,Undirected,3787
84,a,Undirected,2636
85,a,Undirected,3096
86,a,Undirected,2443
87,a,Undirected,4472
88,a,Undirected,4929
89,a,Undirected,7412
90,a,Undirected,13069
91,a,Undirected,5343
92,a,Undirected,4178
93,a,Undirected,6218
94,a,Undirected,7288
95,a,Undirected,7702
96,a,Undirected,20776
97,a,Undirected,11070
98,a,Undirected,8238
99,a,Undirected,6989
100,a,Undirected,7257
101,a,Undirected,4527
102,a,Undirected,12521
103,a,Undirected,35361
104,a,Undirected,14998
105,a,Undirected,23837
106,a,Undirected,17646
107,a,Undirected,33119
108,a,Undirected,7349
109,a,Undirected,4205
110,a,Undirected,2879
111,a,Undirected,4633
112,a,Undirected,3465
113,a,Undirected,6001
114,a,Undirected,9389
115,a,Undirected,4470
116,a,Undirected,4743
117,a,Undirected,4443
118,a,Undirected,3701
119,a,Undirected,4299
120,a,Undirected,4792
121,a,Undirected,4588
122,a,Undirected,3996
123,a,Undirected,7276
124,a,Undirected,6174
125,a,Undirected,3978
126,a,Undirected,6020
127,a,Undirected,5883
128,a,Undirected,16875
129,a,Undirected,5616
130,a,Undirected,6572
131,a,Undirected,19538
132,a,Undirected,5594
133,a,Undirected,8373
134,a,Undirected,7355
135,a,Undirected,5277
136,a,Undirected,4561
137,a,Undirected,5498
138,a,Undirected,6901
139,a,Undirected,10650
140,a,Undirected,11247
141,a,Undirected,15776
142,a,Undirected,6678
143,a,Undirected,23816
144,a,Undirected,13521
145,a,Undirected,17000
146,a,Undirected,19308
147,a,Undirected,11739
148,a,Undirected,4054
149,a,Undirected,9411
150,a,Undirected,18578
151,a,Undirected,7052
152,a,Undirected,5260
153,a,Undirected,5990
154,a,Undirected,6171
155,a,Undirected,9255
156,a,Undirected,14820
157,a,Undirected,11707
158,a,Undirected,6313
159,a,Undirected,7268
160,a,Undirected,12451
161,a,Undirected,9138
162,a,Undirected,8154
163,a,Undirected,22833
164,a,Undirected,10736
165,a,Undirected,16639
166,a,Undirected,7155
167,a,Undirected,4642
168,a,Undirected,6437
169,a,Undirected,13155
170,a,Undirected,7593
171,a,Undirected,4694
172,a,Undirected,11841
173,a,Undirected,0
174,a,Undirected,35
175,a,Undirected,497
176,a,Undirected,0
177,a,Undirected,25141
178,a,Undirected,12
179,a,Undirected,0
180,a,Undirected,1
181,a,Undirected,4451
182,a,Undirected,7557
183,a,Undirected,4223
184,a,Undirected,4618
185,a,Undirected,3029
186,a,Undirected,4889
187,a,Undirected,3794
188,a,Undirected,4369
